ADDRESS_ID,ADDRESS_TYPE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,ADDRESS_LINE5,ADDRESS_LINE6,ADDRESS_LINE7,ADDRESS_LINE8,ADDRESS_NO,CONTACT_NO,LANGUAGE_ID,COMPANY_NAME0,COMPANY_NAME1,COMPANY_NAME2,COMPANY_NAME3,ADDRESS_SUP,CO_ENDORSEMENT,STREET,PO_BOX,MAIL_ZIP,MAIL_ZIP_SUP,MAIL_CITY,WHITE_MAIL_STOP,TEL,TEL_STOP,WEBSITE,EMAIL_POOL,GENDER_ID,GENDER,TITLE_ID,TITLE,FIRSTNAME,LASTNAME,LASTNAME2,LASTNAME2_TYPE,NAME_ATTRIBUTE,POSITION,SALUTATION,CANTON,ORGANIZATION_TYPE,COMPANY_FOUNDING,COM_REG_ENTRY,UID_NO,MAIN_ACTIVITY_CODE,MAIN_ACTIVITY_CODE_TEXT,NUM_EMPLOYEE_STAT,LEGAL_FORM_TEXT,SALES_STAT,LINE_SUP,Motorrad
383,B,Angela & Bruno Schneider,Autofahrschule Schneider,Tannenweg 2,5442 Fislisbach,,,,,669855,773350,1,,Angela & Bruno Schneider,Autofahrschule Schneider,,,,Tannenweg 2,,5442,0,Fislisbach,N,nicht bestellt,Y,www.fahrschule-schneider.ch,nicht bestellt,1,Herr,,,Bruno,Schneider,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Schneider,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Org. ohne def. RF,nicht bestellt,,nein
647,B,Frau,Valeria Wetli,Autofahrschule,Schulhausweg 4,5442 Fislisbach,,,,1515763,1515764,1,Frau,Valeria Wetli,Autofahrschule,,,,Schulhausweg 4,,5442,0,Fislisbach,N,nicht bestellt,Y,www.fahrschule-valeria.ch,nicht bestellt,2,Frau,,,Valeria,Wetli,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Wetli,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
649,B,Frau,Astrid Meier,D'Fahrschuel,Brüggliacher 1,5452 Oberrohrdorf,,,,1515783,1515784,1,Frau,Astrid Meier,D'Fahrschuel,,,,Brüggliacher 1,,5452,0,Oberrohrdorf,N,nicht bestellt,Y,,nicht bestellt,2,Frau,,,Astrid,Meier,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Meier,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1211,B,Herr,Gregor Buholzer,Autofahrschule,Hintermatthof 3,5452 Oberrohrdorf,,,,3155926,3155950,1,Herr,Gregor Buholzer,Autofahrschule,,,,Hintermatthof 3,,5452,0,Oberrohrdorf,N,nicht bestellt,Y,,nicht bestellt,1,Herr,,,Gregor,Buholzer,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Buholzer,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1235,B,Frau,Judith Rimann,Fahrschule,Rüslerstrasse 16,5452 Oberrohrdorf,,,,3164169,3164216,1,Frau,Judith Rimann,Fahrschule,,,,Rüslerstrasse 16,,5452,0,Oberrohrdorf,N,nicht bestellt,Y,www.fahrschule-rimann.ch,nicht bestellt,2,Frau,,,Judith,Rimann,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Rimann,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1379,B,Fahrschule Kleiner AG,Dorfstrasse 9,5453 Remetschwil,,,,,,3427898,0,1,,Fahrschule Kleiner AG,,,,,Dorfstrasse 9,,5453,0,Remetschwil,N,nicht bestellt,N,,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-263.731.671,855300,Autofahrschulen & Flugschulen,01-Sep,AG,nicht bestellt,,nein
637,B,Herr,Roli Kessler,Fahrschule 66,Langächerstrasse 12,5454 Bellikon,,,,1515714,1515715,1,Herr,Roli Kessler,Fahrschule 66,,,,Langächerstrasse 12,,5454,0,Bellikon,N,nicht bestellt,Y,,nicht bestellt,1,Herr,,,Roli,Kessler,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Kessler,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1204,B,Stefan Beerli,Autofahrschule,Schulhausweg 55,5466 Kaiserstuhl AG,,,,,3140893,0,1,,Stefan Beerli,Autofahrschule,,,,Schulhausweg 55,,5466,0,Kaiserstuhl AG,N,nicht bestellt,N,www.fahrschule-beerli.ch,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,NDL ohne HR,nicht bestellt,,nein
1007,B,Ruchti Lernstation,Frau Helene Ruchti,Winkelstrasse 27,5505 Brunegg,,,,,1737541,4544195,1,,Ruchti Lernstation,,,,,Winkelstrasse 27,,5505,0,Brunegg,N,nicht bestellt,N,www.lernstation.ch,nicht bestellt,2,Frau,,,Helene,Ruchti,,,,Geschäftsführer/Inhaber#Verwaltungsrat-/Stiftungsrat-/Präsident,Sehr geehrte Frau Ruchti,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-105.781.397,855903,Erwachsenenbildung & berufliche Weiterbildung,01-Sep,AG,nicht bestellt,,ja
384,B,Frau,Ursula Margadant,Fahrschule Berger,Blumenweg 3,5506 Mägenwil,,,,669907,773360,1,Frau,Ursula Margadant,Fahrschule Berger,,,,Blumenweg 3,,5506,0,Mägenwil,N,nicht bestellt,Y,,nicht bestellt,2,Frau,,,Ursula,Margadant,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Margadant,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
